vehicle_id,user_id,plate_number,vehicle_type,vehicle_model,vehicle_color,or_img,cr_img,vehicle_status,created_at,updated_at
VEH-2026-0017,USR-2026-0017,OPO-7410,PRIVATE,Yamaha Mio i125,Magenta,/img/or_017.jpg,/img/cr_017.jpg,ACTIVE,2026-02-25 15:25:00,2026-02-25 15:25:00
VEH-2026-0018,USR-2026-0018,LKH-8520,PRIVATE,Honda CR-V,Crystal Black,/img/or_018.jpg,/img/cr_018.jpg,ACTIVE,2026-03-01 08:15:00,2026-03-01 08:15:00
VEH-2026-0019,USR-2026-0018,JGF-9630,PRIVATE,Toyota Corolla Altis,Silver,/img/or_019.jpg,/img/cr_019.jpg,ACTIVE,2026-03-02 09:45:00,2026-03-02 09:45:00
VEH-2026-0020,USR-2026-0018,HFD-1590,COMMERCIAL,Isuzu Travis,White,/img/or_020.jpg,/img/cr_020.jpg,PENDING,2026-03-05 10:20:00,2026-03-05 10:20:00
VEH-2026-0021,USR-2026-0019,DSA-7531,PRIVATE,Geely Coolray,Red,/img/or_021.jpg,/img/cr_021.jpg,ACTIVE,2026-03-10 11:00:00,2026-03-10 11:00:00
VEH-2026-0022,USR-2026-0020,REW-9512,PRIVATE,Mitsubishi Xpander,Quartz White,/img/or_022.jpg,/img/cr_022.jpg,ACTIVE,2026-03-12 13:30:00,2026-03-12 13:30:00
VEH-2026-0023,USR-2026-0021,TRE-3579,PRIVATE,MG ZS,Meteorite Black,/img/or_023.jpg,/img/cr_023.jpg,EXPIRED,2026-03-15 14:10:00,2026-03-15 14:10:00
VEH-2026-0024,USR-2026-0022,YUI-2468,PRIVATE,Kawasaki Rouser,Blue,/img/or_024.jpg,/img/cr_024.jpg,ACTIVE,2026-03-18 09:50:00,2026-03-18 09:50:00
VEH-2026-0025,USR-2026-0023,IOP-1357,PRIVATE,Subaru Forester,Ice Silver,/img/or_025.jpg,/img/cr_025.jpg,ACTIVE,2026-03-20 10:25:00,2026-03-20 10:25:00
VEH-2026-0026,USR-2026-0024,LKJ-8642,PRIVATE,Honda BR-V,Lunar Silver,/img/or_026.jpg,/img/cr_026.jpg,ACTIVE,2026-03-22 11:40:00,2026-03-22 11:40:00
VEH-2026-0027,USR-2026-0024,HGF-9753,PRIVATE,Honda ADV 160,Red,/img/or_027.jpg,/img/cr_027.jpg,ACTIVE,2026-03-23 13:15:00,2026-03-23 13:15:00
VEH-2026-0028,USR-2026-0025,MNB-4567,PRIVATE,Toyota Rush,Dark Red,/img/or_028.jpg,/img/cr_028.jpg,ACTIVE,2026-03-25 15:00:00,2026-03-25 15:00:00
VEH-2026-0029,USR-2026-0026,VBN-6543,PRIVATE,Ford Everest,Absolute Black,/img/or_029.jpg,/img/cr_029.jpg,PENDING,2026-03-28 08:45:00,2026-03-28 08:45:00
VEH-2026-0030,USR-2026-0027,CXZ-3456,PRIVATE,Nissan Almera,Brilliant Silver,/img/or_030.jpg,/img/cr_030.jpg,ACTIVE,2026-03-30 09:20:00,2026-03-30 09:20:00
VEH-2026-0031,USR-2026-0028,ZAS-7890,PRIVATE,Suzuki S-Presso,Sizzle Orange,/img/or_031.jpg,/img/cr_031.jpg,ACTIVE,2026-04-01 10:10:00,2026-04-01 10:10:00
VEH-2026-0032,USR-2026-0029,QAZ-0987,PRIVATE,Hyundai Reina,Blue,/img/or_032.jpg,/img/cr_032.jpg,ACTIVE,2026-04-03 11:35:00,2026-04-03 11:35:00
VEH-2026-0033,USR-2026-0030,WSX-5432,PRIVATE,Mitsubishi L300,White,/img/or_033.jpg,/img/cr_033.jpg,ACTIVE,2026-04-05 13:50:00,2026-04-05 13:50:00
VEH-2026-0034,USR-2026-0030,EDC-2345,COMMERCIAL,Suzuki Carry,White,/img/or_034.jpg,/img/cr_034.jpg,ACTIVE,2026-04-06 14:25:00,2026-04-06 14:25:00
VEH-2026-0035,USR-2026-0031,RFV-6789,PRIVATE,Chevrolet Trailblazer,Black,/img/or_035.jpg,/img/cr_035.jpg,ACTIVE,2026-04-08 09:15:00,2026-04-08 09:15:00
VEH-2026-0036,USR-2026-0032,TGB-9876,PRIVATE,Yamaha Aerox 155,Racing Blue,/img/or_036.jpg,/img/cr_036.jpg,REJECTED,2026-04-10 10:40:00,2026-04-10 10:40:00
VEH-2026-0037,USR-2026-0033,YHN-5432,PRIVATE,Toyota Camry,Attitude Black,/img/or_037.jpg,/img/cr_037.jpg,ACTIVE,2026-04-12 11:55:00,2026-04-12 11:55:00
VEH-2026-0038,USR-2026-0034,UJM-1234,PRIVATE,Honda Brio,Taffeta White,/img/or_038.jpg,/img/cr_038.jpg,ACTIVE,2026-04-15 13:10:00,2026-04-15 13:10:00
VEH-2026-0039,USR-2026-0035,IKM-5678,PRIVATE,Ford Territory,Ruby Red,/img/or_039.jpg,/img/cr_039.jpg,ACTIVE,2026-04-18 14:25:00,2026-04-18 14:25:00
VEH-2026-0040,USR-2026-0035,OLP-9012,PRIVATE,Honda Beat,Black,/img/or_040.jpg,/img/cr_040.jpg,PENDING,2026-04-20 15:40:00,2026-04-20 15:40:00
VEH-2026-0041,USR-2026-0036,PQA-3456,PRIVATE,Toyota Innova,Red Mica,/img/or_041.jpg,/img/cr_041.jpg,ACTIVE,2026-04-22 08:05:00,2026-04-22 08:05:00
VEH-2026-0042,USR-2026-0037,LKS-7890,PRIVATE,Mitsubishi Strada,Graphite Gray,/img/or_042.jpg,/img/cr_042.jpg,ACTIVE,2026-04-25 09:30:00,2026-04-25 09:30:00
VEH-2026-0043,USR-2026-0038,JHD-1234,PRIVATE,Nissan Kicks,Pearl White,/img/or_043.jpg,/img/cr_043.jpg,ACTIVE,2026-04-28 10:45:00,2026-04-28 10:45:00
VEH-2026-0044,USR-2026-0039,GFA-5678,PRIVATE,Kia Soluto,Blue,/img/or_044.jpg,/img/cr_044.jpg,EXPIRED,2026-04-30 11:20:00,2026-04-30 11:20:00
VEH-2026-0045,USR-2026-0039,DSA-9012,PRIVATE,Suzuki Skydrive,Pink,/img/or_045.jpg,/img/cr_045.jpg,ACTIVE,2026-05-02 13:00:00,2026-05-02 13:00:00
VEH-2026-0046,USR-2026-0040,MNB-3456,PRIVATE,Toyota Vios,Blackish Red,/img/or_046.jpg,/img/cr_046.jpg,ACTIVE,2026-05-05 14:15:00,2026-05-05 14:15:00
VEH-2026-0047,USR-2026-0041,BVC-7890,PRIVATE,Mazda CX-5,Machine Gray,/img/or_047.jpg,/img/cr_047.jpg,ACTIVE,2026-05-08 15:35:00,2026-05-08 15:35:00
VEH-2026-0048,USR-2026-0042,CXZ-1234,PRIVATE,Yamaha Sniper 155,Matte Titan,/img/or_048.jpg,/img/cr_048.jpg,ACTIVE,2026-05-10 09:10:00,2026-05-10 09:10:00
VEH-2026-0049,USR-2026-0042,ZAS-5678,PRIVATE,Honda City,Platinum White,/img/or_049.jpg,/img/cr_049.jpg,PENDING,2026-05-12 10:25:00,2026-05-12 10:25:00
VEH-2026-0050,USR-2026-0042,XSD-9012,COMMERCIAL,L300 Exceed,White,/img/or_050.jpg,/img/cr_050.jpg,ACTIVE,2026-05-15 11:40:00,2026-05-15 11:40:00
VEH-2026-0051,USR-2026-0043,QWE-3456,PRIVATE,Ford Mustang,Velocity Blue,/img/or_051.jpg,/img/cr_051.jpg,ACTIVE,2026-05-18 13:55:00,2026-05-18 13:55:00
VEH-2026-0052,USR-2026-0043,RTY-7890,PRIVATE,Vespa Primavera,White,/img/or_052.jpg,/img/cr_052.jpg,ACTIVE,2026-05-20 14:15:00,2026-05-20 14:15:00
VEH-2026-0053,USR-2026-0004,YUI-1234,PRIVATE,Hyundai Staria,Creamy White,/img/or_053.jpg,/img/cr_053.jpg,ACTIVE,2026-05-22 15:30:00,2026-05-22 15:30:00
VEH-2026-0054,USR-2026-0005,OUP-5678,PRIVATE,Kymco Like 150i,Red,/img/or_054.jpg,/img/cr_054.jpg,PENDING,2026-05-25 08:45:00,2026-05-25 08:45:00
VEH-2026-0055,USR-2026-0006,ASD-9012,COMMERCIAL,Toyota LiteAce,White,/img/or_055.jpg,/img/cr_055.jpg,ACTIVE,2026-05-28 10:00:00,2026-05-28 10:00:00
