homeowner_id,user_id,streak_count,current_star_count,current_badge_level,created_at,updated_at
OWN-2026-0081,USR-2026-0084,9,5,EMERALD,2024-07-11,2026-01-01 00:00:00
OWN-2026-0082,USR-2026-0085,9,5,EMERALD,2026-04-09,2026-01-01 00:00:00
OWN-2026-0083,USR-2026-0086,0,0,BRONZE,2021-12-17,2026-01-01 00:00:00
OWN-2026-0084,USR-2026-0087,4,2,SILVER,2026-11-22,2026-01-01 00:00:00
OWN-2026-0085,USR-2026-0088,3,2,SILVER,2026-01-16,2026-01-01 00:00:00
OWN-2026-0086,USR-2026-0089,9,5,EMERALD,2026-05-07,2026-01-01 00:00:00
OWN-2026-0087,USR-2026-0090,8,4,GOLD,2022-02-01,2026-01-01 00:00:00
OWN-2026-0088,USR-2026-0091,10,5,EMERALD,2018-08-24,2026-01-01 00:00:00
OWN-2026-0089,USR-2026-0092,7,4,GOLD,2021-11-26,2026-01-01 00:00:00
OWN-2026-0090,USR-2026-0093,2,0,BRONZE,2025-11-16,2026-01-01 00:00:00
OWN-2026-0091,USR-2026-0094,7,4,GOLD,2026-05-27,2026-01-01 00:00:00
OWN-2026-0092,USR-2026-0095,4,2,SILVER,2025-03-08,2026-01-01 00:00:00
OWN-2026-0093,USR-2026-0096,10,5,EMERALD,2024-04-06,2026-01-01 00:00:00
OWN-2026-0094,USR-2026-0097,7,4,GOLD,2018-07-03,2026-01-01 00:00:00
OWN-2026-0095,USR-2026-0098,7,4,GOLD,2018-04-29,2026-01-01 00:00:00
OWN-2026-0096,USR-2026-0099,2,0,BRONZE,2025-11-30,2026-01-01 00:00:00
OWN-2026-0097,USR-2026-0100,0,0,BRONZE,2018-01-27,2026-01-01 00:00:00
OWN-2026-0098,USR-2026-0101,0,0,BRONZE,2021-09-26,2026-01-01 00:00:00
OWN-2026-0099,USR-2026-0102,7,4,GOLD,2022-03-17,2026-01-01 00:00:00
OWN-2026-0100,USR-2026-0103,1,0,BRONZE,2023-03-07,2026-01-01 00:00:00
OWN-2026-0101,USR-2026-0104,5,2,SILVER,2026-03-26,2026-01-01 00:00:00
OWN-2026-0102,USR-2026-0105,5,2,SILVER,2022-12-09,2026-01-01 00:00:00
OWN-2026-0103,USR-2026-0106,0,0,BRONZE,2026-12-07,2026-01-01 00:00:00
OWN-2026-0104,USR-2026-0107,9,5,EMERALD,2019-03-10,2026-01-01 00:00:00
OWN-2026-0105,USR-2026-0108,7,4,GOLD,2025-06-03,2026-01-01 00:00:00
OWN-2026-0106,USR-2026-0109,7,4,GOLD,2018-04-03,2026-01-01 00:00:00
OWN-2026-0107,USR-2026-0110,5,2,SILVER,2018-06-15,2026-01-01 00:00:00
OWN-2026-0108,USR-2026-0111,11,5,EMERALD,2019-05-12,2026-01-01 00:00:00
OWN-2026-0109,USR-2026-0112,7,4,GOLD,2021-12-08,2026-01-01 00:00:00
OWN-2026-0110,USR-2026-0113,5,2,SILVER,2018-06-23,2026-01-01 00:00:00
OWN-2026-0111,USR-2026-0114,7,4,GOLD,2021-05-23,2026-01-01 00:00:00
OWN-2026-0112,USR-2026-0115,2,0,BRONZE,2019-04-08,2026-01-01 00:00:00
OWN-2026-0113,USR-2026-0116,5,2,SILVER,2023-01-11,2026-01-01 00:00:00
OWN-2026-0114,USR-2026-0117,2,0,BRONZE,2021-07-02,2026-01-01 00:00:00
OWN-2026-0115,USR-2026-0118,11,5,EMERALD,2018-02-03,2026-01-01 00:00:00
OWN-2026-0116,USR-2026-0119,0,0,BRONZE,2021-02-01,2026-01-01 00:00:00
OWN-2026-0117,USR-2026-0120,9,5,EMERALD,2020-12-28,2026-01-01 00:00:00
OWN-2026-0118,USR-2026-0121,8,4,GOLD,2025-04-07,2026-01-01 00:00:00
OWN-2026-0119,USR-2026-0122,8,4,GOLD,2025-09-12,2026-01-01 00:00:00
OWN-2026-0120,USR-2026-0123,6,4,GOLD,2021-05-21,2026-01-01 00:00:00
OWN-2026-0121,USR-2026-0124,1,0,BRONZE,2024-01-11,2026-01-01 00:00:00
OWN-2026-0122,USR-2026-0125,1,0,BRONZE,2025-01-17,2026-01-01 00:00:00
OWN-2026-0123,USR-2026-0126,9,5,EMERALD,2025-11-02,2026-01-01 00:00:00
OWN-2026-0124,USR-2026-0127,6,4,GOLD,2024-02-18,2026-01-01 00:00:00
OWN-2026-0125,USR-2026-0128,4,2,SILVER,2023-08-05,2026-01-01 00:00:00
OWN-2026-0126,USR-2026-0129,7,4,GOLD,2021-12-18,2026-01-01 00:00:00
OWN-2026-0127,USR-2026-0130,3,2,SILVER,2025-03-29,2026-01-01 00:00:00
OWN-2026-0128,USR-2026-0131,10,5,EMERALD,2022-10-30,2026-01-01 00:00:00
OWN-2026-0129,USR-2026-0132,3,2,SILVER,2020-07-29,2026-01-01 00:00:00
OWN-2026-0130,USR-2026-0133,6,4,GOLD,2025-07-29,2026-01-01 00:00:00
OWN-2026-0131,USR-2026-0134,11,5,EMERALD,2026-07-25,2026-01-01 00:00:00
OWN-2026-0132,USR-2026-0135,11,5,EMERALD,2023-02-22,2026-01-01 00:00:00
OWN-2026-0133,USR-2026-0136,11,5,EMERALD,2019-03-12,2026-01-01 00:00:00
OWN-2026-0134,USR-2026-0137,4,2,SILVER,2021-10-15,2026-01-01 00:00:00
OWN-2026-0135,USR-2026-0138,10,5,EMERALD,2020-07-20,2026-01-01 00:00:00
OWN-2026-0136,USR-2026-0139,3,2,SILVER,2024-07-05,2026-01-01 00:00:00
OWN-2026-0137,USR-2026-0140,10,5,EMERALD,2021-02-20,2026-01-01 00:00:00
OWN-2026-0138,USR-2026-0141,3,2,SILVER,2024-09-05,2026-01-01 00:00:00
OWN-2026-0139,USR-2026-0142,9,5,EMERALD,2024-04-12,2026-01-01 00:00:00
OWN-2026-0140,USR-2026-0143,0,0,BRONZE,2020-01-06,2026-01-01 00:00:00
OWN-2026-0141,USR-2026-0144,4,2,SILVER,2021-11-16,2026-01-01 00:00:00
OWN-2026-0142,USR-2026-0145,0,0,BRONZE,2024-04-25,2026-01-01 00:00:00
OWN-2026-0143,USR-2026-0146,6,4,GOLD,2019-05-08,2026-01-01 00:00:00
OWN-2026-0144,USR-2026-0147,2,0,BRONZE,2022-04-21,2026-01-01 00:00:00
OWN-2026-0145,USR-2026-0148,5,2,SILVER,2023-09-05,2026-01-01 00:00:00
OWN-2026-0146,USR-2026-0149,7,4,GOLD,2026-03-15,2026-01-01 00:00:00
OWN-2026-0147,USR-2026-0150,8,4,GOLD,2018-10-14,2026-01-01 00:00:00
OWN-2026-0148,USR-2026-0151,0,0,BRONZE,2018-06-13,2026-01-01 00:00:00
