transaction_id,billing_id,zone_id,amount,payment_category,production_share,hoa_share,collector_incentive,payment_method,payment_status,payment_proof,processed_by,transaction_date,user_id,reference_no
AR-2026-00023,BIL-2026-00030,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-02-13 09:25:00,USR-2026-0008,9.88E+11
AR-2026-00024,BIL-2026-00031,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-03-13 11:45:00,USR-2026-0008,9.04E+11
AR-2026-00025,BIL-2026-00032,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00025.jpg,COL-2026-0001,2026-04-13 16:10:00,USR-2026-0008,2.83E+11
AR-2026-00026,BIL-2026-00033,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-05-16 11:40:00,USR-2026-0008,3.22E+11
AR-2026-00027,BIL-2026-00034,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-06-29 13:35:00,USR-2026-0008,2.31E+11
AR-2026-00028,BIL-2026-00035,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00028.jpg,COL-2026-0001,2026-07-13 13:00:00,USR-2026-0008,7.45E+11
AR-2026-00029,BIL-2026-00036,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00029.jpg,COL-2026-0001,2026-01-13 08:15:00,USR-2026-0009,1.79E+11
AR-2026-00030,BIL-2026-00037,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00030.jpg,COL-2026-0001,2026-02-15 15:15:00,USR-2026-0009,7.31E+11
AR-2026-00031,BIL-2026-00043,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00031.jpg,COL-2026-0001,2026-01-14 15:30:00,USR-2026-0010,8.22E+11
AR-2026-00032,BIL-2026-00044,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-02-16 14:35:00,USR-2026-0010,8.39E+11
AR-2026-00033,BIL-2026-00045,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,PENDING,proofs/TRX-00033.jpg,,2026-03-28 08:30:00,USR-2026-0010,3.71E+11
AR-2026-00034,BIL-2026-00064,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00034.jpg,COL-2026-0001,2026-01-16 10:30:00,USR-2026-0013,3.73E+11
AR-2026-00035,BIL-2026-00065,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00035.jpg,COL-2026-0001,2026-02-28 15:40:00,USR-2026-0013,2.81E+11
AR-2026-00036,BIL-2026-00066,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-03-16 11:30:00,USR-2026-0013,5.17E+11
AR-2026-00037,BIL-2026-00067,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00037.jpg,COL-2026-0001,2026-04-07 12:35:00,USR-2026-0013,7.13E+11
AR-2026-00038,BIL-2026-00071,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00038.jpg,COL-2026-0001,2026-01-31 10:15:00,USR-2026-0014,1.64E+11
AR-2026-00039,BIL-2026-00072,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00039.jpg,COL-2026-0001,2026-02-13 13:00:00,USR-2026-0014,6.52E+11
AR-2026-00040,BIL-2026-00085,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00040.jpg,COL-2026-0001,2026-01-29 08:40:00,USR-2026-0016,1.74E+11
AR-2026-00041,BIL-2026-00086,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-02-14 14:05:00,USR-2026-0016,3.73E+11
AR-2026-00042,BIL-2026-00087,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00042.jpg,COL-2026-0001,2026-03-13 17:05:00,USR-2026-0016,7.21E+11
AR-2026-00043,BIL-2026-00099,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00043.jpg,COL-2026-0001,2026-01-15 11:50:00,USR-2026-0018,3.89E+11
AR-2026-00044,BIL-2026-00100,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-02-15 15:25:00,USR-2026-0018,1.81E+11
AR-2026-00045,BIL-2026-00101,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00045.jpg,COL-2026-0001,2026-03-10 17:05:00,USR-2026-0018,6.55E+11
AR-2026-00046,BIL-2026-00102,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00046.jpg,COL-2026-0001,2026-04-15 09:15:00,USR-2026-0018,5.82E+11
AR-2026-00047,BIL-2026-00103,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00047.jpg,COL-2026-0001,2026-05-30 17:50:00,USR-2026-0018,4.29E+11
AR-2026-00048,BIL-2026-00104,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00048.jpg,COL-2026-0001,2026-06-28 10:20:00,USR-2026-0018,9.17E+11
AR-2026-00049,BIL-2026-00105,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00049.jpg,COL-2026-0001,2026-07-15 12:45:00,USR-2026-0018,3.25E+11
AR-2026-00050,BIL-2026-00106,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00050.jpg,COL-2026-0001,2026-01-30 16:35:00,USR-2026-0019,1.99E+11
AR-2026-00051,BIL-2026-00107,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00051.jpg,COL-2026-0001,2026-02-28 08:00:00,USR-2026-0019,8.01E+11
AR-2026-00052,BIL-2026-00108,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00052.jpg,COL-2026-0001,2026-03-29 15:40:00,USR-2026-0019,1.11E+11
AR-2026-00053,BIL-2026-00109,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-04-03 16:00:00,USR-2026-0019,7.08E+11
AR-2026-00054,BIL-2026-00113,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00054.jpg,COL-2026-0001,2026-01-03 08:20:00,USR-2026-0020,9.76E+11
AR-2026-00055,BIL-2026-00114,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00055.jpg,COL-2026-0001,2026-02-28 13:15:00,USR-2026-0020,2.15E+11
AR-2026-00056,BIL-2026-00115,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00056.jpg,COL-2026-0001,2026-03-16 17:55:00,USR-2026-0020,3.62E+11
AR-2026-00057,BIL-2026-00116,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00057.jpg,COL-2026-0001,2026-04-28 14:00:00,USR-2026-0020,4.69E+11
AR-2026-00058,BIL-2026-00117,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00058.jpg,COL-2026-0001,2026-05-31 11:20:00,USR-2026-0020,2.19E+11
AR-2026-00059,BIL-2026-00118,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00059.jpg,COL-2026-0001,2026-06-13 15:15:00,USR-2026-0020,6.06E+11
AR-2026-00060,BIL-2026-00119,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00060.jpg,COL-2026-0001,2026-07-14 11:00:00,USR-2026-0020,4.62E+11
AR-2026-00061,BIL-2026-00120,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00061.jpg,COL-2026-0001,2026-01-13 12:25:00,USR-2026-0021,8.45E+11
AR-2026-00062,BIL-2026-00121,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-02-28 08:05:00,USR-2026-0021,2.94E+11
AR-2026-00063,BIL-2026-00122,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00063.jpg,COL-2026-0001,2026-03-15 08:05:00,USR-2026-0021,9.00E+11
AR-2026-00064,BIL-2026-00123,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00064.jpg,COL-2026-0001,2026-04-29 17:40:00,USR-2026-0021,7.35E+11
AR-2026-00065,BIL-2026-00124,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00065.jpg,COL-2026-0001,2026-05-13 14:00:00,USR-2026-0021,6.92E+11
AR-2026-00066,BIL-2026-00125,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00066.jpg,COL-2026-0001,2026-06-30 11:25:00,USR-2026-0021,8.34E+11
AR-2026-00067,BIL-2026-00126,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-07-30 09:55:00,USR-2026-0021,4.41E+11
AR-2026-00068,BIL-2026-00127,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00068.jpg,COL-2026-0001,2026-01-30 14:55:00,USR-2026-0022,3.11E+11
AR-2026-00069,BIL-2026-00128,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00069.jpg,COL-2026-0001,2026-02-16 10:45:00,USR-2026-0022,7.03E+11
AR-2026-00070,BIL-2026-00129,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00070.jpg,COL-2026-0001,2026-03-30 12:15:00,USR-2026-0022,7.68E+11
AR-2026-00071,BIL-2026-00130,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00071.jpg,COL-2026-0001,2026-04-29 15:35:00,USR-2026-0022,6.22E+11
AR-2026-00072,BIL-2026-00131,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00072.jpg,COL-2026-0001,2026-05-29 09:20:00,USR-2026-0022,7.81E+11
AR-2026-00073,BIL-2026-00132,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-06-14 12:15:00,USR-2026-0022,1.26E+11
AR-2026-00074,BIL-2026-00133,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00074.jpg,COL-2026-0001,2026-07-08 17:05:00,USR-2026-0022,7.95E+11
AR-2026-00075,BIL-2026-00148,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00075.jpg,COL-2026-0001,2026-01-16 15:30:00,USR-2026-0025,8.59E+11
AR-2026-00076,BIL-2026-00149,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00076.jpg,COL-2026-0001,2026-02-02 14:15:00,USR-2026-0025,8.69E+11
AR-2026-00077,BIL-2026-00169,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-13 16:15:00,USR-2026-0028,5.99E+11
AR-2026-00078,BIL-2026-00170,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00078.jpg,COL-2026-0001,2026-02-08 16:40:00,USR-2026-0028,9.33E+11
AR-2026-00079,BIL-2026-00171,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-03-31 16:35:00,USR-2026-0028,5.96E+11
AR-2026-00080,BIL-2026-00176,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00080.jpg,COL-2026-0001,2026-01-14 12:40:00,USR-2026-0029,4.02E+11
AR-2026-00081,BIL-2026-00177,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00081.jpg,COL-2026-0001,2026-02-15 11:20:00,USR-2026-0029,6.97E+11
AR-2026-00082,BIL-2026-00178,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00082.jpg,COL-2026-0001,2026-03-03 11:30:00,USR-2026-0029,3.35E+11
AR-2026-00083,BIL-2026-00179,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00083.jpg,COL-2026-0001,2026-04-07 13:40:00,USR-2026-0029,3.24E+11
AR-2026-00084,BIL-2026-00180,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00084.jpg,COL-2026-0001,2026-05-31 17:55:00,USR-2026-0029,9.41E+11
AR-2026-00085,BIL-2026-00181,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00085.jpg,COL-2026-0001,2026-06-16 08:25:00,USR-2026-0029,5.63E+11
AR-2026-00086,BIL-2026-00182,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00086.jpg,COL-2026-0001,2026-07-14 15:15:00,USR-2026-0029,1.32E+11
AR-2026-00087,BIL-2026-00183,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-16 10:35:00,USR-2026-0030,7.87E+11
AR-2026-00088,BIL-2026-00184,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00088.jpg,COL-2026-0001,2026-02-16 17:45:00,USR-2026-0030,8.05E+11
AR-2026-00089,BIL-2026-00185,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,PENDING,proofs/TRX-00089.jpg,,2026-03-16 10:00:00,USR-2026-0030,3.33E+11
AR-2026-00090,BIL-2026-00197,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-15 14:20:00,USR-2026-0032,5.63E+11
AR-2026-00091,BIL-2026-00198,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00091.jpg,COL-2026-0001,2026-02-13 15:00:00,USR-2026-0032,4.86E+11
AR-2026-00092,BIL-2026-00199,Z-3,200,MONTHLY_DUES,,180,20,CASH,PENDING,,,2026-03-13 08:00:00,USR-2026-0032,7.83E+11
AR-2026-00093,BIL-2026-00204,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00093.jpg,COL-2026-0001,2026-01-14 15:50:00,USR-2026-0033,3.40E+11
AR-2026-00094,BIL-2026-00205,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00094.jpg,COL-2026-0001,2026-02-15 13:10:00,USR-2026-0033,9.24E+11
AR-2026-00095,BIL-2026-00206,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00095.jpg,COL-2026-0001,2026-03-29 12:05:00,USR-2026-0033,4.43E+11
AR-2026-00096,BIL-2026-00207,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00096.jpg,COL-2026-0001,2026-04-16 14:55:00,USR-2026-0033,8.58E+11
AR-2026-00097,BIL-2026-00211,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-29 09:55:00,USR-2026-0034,8.55E+11
AR-2026-00098,BIL-2026-00212,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00098.jpg,COL-2026-0001,2026-02-28 17:00:00,USR-2026-0034,8.28E+11
AR-2026-00099,BIL-2026-00213,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-03-15 08:30:00,USR-2026-0034,5.73E+11
AR-2026-00100,BIL-2026-00214,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00100.jpg,COL-2026-0001,2026-04-30 15:55:00,USR-2026-0034,9.04E+11
AR-2026-00101,BIL-2026-00215,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-05-15 17:40:00,USR-2026-0034,5.79E+11
AR-2026-00102,BIL-2026-00216,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-06-30 12:25:00,USR-2026-0034,4.05E+11
AR-2026-00103,BIL-2026-00217,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00103.jpg,COL-2026-0001,2026-07-29 15:45:00,USR-2026-0034,4.71E+11
AR-2026-00104,BIL-2026-00218,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00104.jpg,COL-2026-0001,2026-01-06 10:35:00,USR-2026-0035,3.87E+11
AR-2026-00105,BIL-2026-00219,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00105.jpg,COL-2026-0001,2026-02-15 16:00:00,USR-2026-0035,1.91E+11
AR-2026-00106,BIL-2026-00225,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-16 15:40:00,USR-2026-0036,6.23E+11
AR-2026-00107,BIL-2026-00226,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00107.jpg,COL-2026-0001,2026-02-28 15:00:00,USR-2026-0036,5.43E+11
AR-2026-00108,BIL-2026-00227,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00108.jpg,COL-2026-0001,2026-03-30 17:25:00,USR-2026-0036,4.80E+11
AR-2026-00109,BIL-2026-00228,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00109.jpg,COL-2026-0001,2026-04-15 13:55:00,USR-2026-0036,3.76E+11
AR-2026-00110,BIL-2026-00229,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00110.jpg,COL-2026-0001,2026-05-14 13:05:00,USR-2026-0036,9.42E+11
AR-2026-00111,BIL-2026-00230,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00111.jpg,COL-2026-0001,2026-06-28 11:55:00,USR-2026-0036,7.47E+11
AR-2026-00112,BIL-2026-00231,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00112.jpg,COL-2026-0001,2026-07-30 09:15:00,USR-2026-0036,2.95E+11
AR-2026-00113,BIL-2026-00232,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-14 12:00:00,USR-2026-0037,4.20E+11
AR-2026-00114,BIL-2026-00233,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-02-28 15:05:00,USR-2026-0037,4.12E+11
AR-2026-00115,BIL-2026-00234,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-03-16 13:10:00,USR-2026-0037,6.28E+11
AR-2026-00116,BIL-2026-00239,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00116.jpg,COL-2026-0001,2026-01-02 14:35:00,USR-2026-0038,8.54E+11
AR-2026-00117,BIL-2026-00240,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00117.jpg,COL-2026-0001,2026-02-03 17:20:00,USR-2026-0038,2.30E+11
AR-2026-00118,BIL-2026-00241,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-03-16 17:45:00,USR-2026-0038,9.51E+11
AR-2026-00119,BIL-2026-00246,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-16 15:20:00,USR-2026-0039,5.72E+11
AR-2026-00120,BIL-2026-00247,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00120.jpg,COL-2026-0001,2026-02-13 17:55:00,USR-2026-0039,3.31E+11
AR-2026-00121,BIL-2026-00248,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00121.jpg,COL-2026-0001,2026-03-30 09:10:00,USR-2026-0039,1.84E+11
AR-2026-00122,BIL-2026-00249,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00122.jpg,COL-2026-0001,2026-04-16 15:55:00,USR-2026-0039,1.36E+11
AR-2026-00123,BIL-2026-00250,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00123.jpg,COL-2026-0001,2026-05-15 15:05:00,USR-2026-0039,3.92E+11
AR-2026-00124,BIL-2026-00251,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-06-30 17:50:00,USR-2026-0039,5.65E+11
AR-2026-00125,BIL-2026-00252,Z-3,200,MONTHLY_DUES,,180,20,CASH,PENDING,,,2026-07-04 10:20:00,USR-2026-0039,1.65E+11
AR-2026-00126,BIL-2026-00253,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-01-15 17:55:00,USR-2026-0040,4.17E+11
AR-2026-00127,BIL-2026-00254,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00127.jpg,COL-2026-0001,2026-02-16 12:55:00,USR-2026-0040,6.51E+11
AR-2026-00128,BIL-2026-00255,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00128.jpg,COL-2026-0001,2026-03-16 09:45:00,USR-2026-0040,9.09E+11
AR-2026-00129,BIL-2026-00256,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00129.jpg,COL-2026-0001,2026-04-15 08:05:00,USR-2026-0040,7.35E+11
AR-2026-00130,BIL-2026-00257,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00130.jpg,COL-2026-0001,2026-05-13 12:45:00,USR-2026-0040,2.92E+11
AR-2026-00131,BIL-2026-00258,Z-3,200,MONTHLY_DUES,,180,20,CASH,VERIFIED,,COL-2026-0001,2026-06-16 12:10:00,USR-2026-0040,7.98E+11
AR-2026-00132,BIL-2026-00259,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00132.jpg,COL-2026-0001,2026-07-28 15:25:00,USR-2026-0040,8.36E+11
AR-2026-00133,BIL-2026-00260,Z-3,200,MONTHLY_DUES,,180,20,DIGITAL,VERIFIED,proofs/TRX-00133.jpg,COL-2026-0001,2026-01-03 13:30:00,USR-2026-0041,8.27E+11
